Unnamed: 0,username,comicID,rating
19985,Kyourai,1101,5.0
64185,Corvo_409,50145,2.0
53375,GodspeedK,25096,4.0
1306,eunhyuk,8,5.0
28256,maybelletea,3468,4.0
22720,Gokaired,1474,5.0
74600,Ozymandyas,103890,4.0
72103,Chronowarp,95210,4.0
60864,Lefty112,39883,4.0
17934,Yoroko,745,4.0
46392,Yoroko,17207,2.0
69623,P_u_Sher,78943,4.0
15460,Himawari-hime,618,2.0
65099,samm96,56805,5.0
29420,NayFey,3633,2.0
57641,mika_88,32931,4.0
5644,Calissa,24,2.0
13984,Jevasamy,591,5.0
54491,GEEKalea,26584,3.0
21999,Fiby,1376,4.0
60304,Nakido,39139,1.0
25124,arff98,2436,4.0
75228,JDanielChG,108197,2.0
25720,kahren,2921,5.0
45961,Friendly_devil,16031,4.0
37384,Dansai,8300,5.0
2502,Sakucita,12,5.0
15633,stephen5000,618,3.0
64982,Sameien,56805,4.0
73263,BorderlandsFan,99377,3.0
56778,Nibchan,30315,3.0
453,Alvenzo,2,5.0
15924,comico,633,4.0
48485,orangeskull,20242,4.0
43600,RocketMan131,13702,4.0
51965,-NatGu-,24294,5.0
19986,blue-paladin,1101,4.0
70102,SickeninglySweet,85173,3.0
73852,TheMangaManiac,100448,4.0
15183,Andrez-ssi,614,3.0
38905,Nibchan,9711,5.0
8664,Fenneko,57,5.0
687,Make-inu,2,5.0
59657,Stolas,36267,4.0
6632,Cs1123,30,5.0
55136,Deskachan,27231,5.0
12717,Otakoizu,436,4.0
37822,SouldeC,8341,4.0
59572,anadan,36267,3.0
34236,ThatDeadMikey,5293,4.0
65165,Akit0,56805,4.0
1539,DrakieV,9,5.0
48774,-Kazu,20593,4.0
6980,Mo7ammed,32,5.0
63687,DeusJuvenaldo,48881,4.0
57965,Calissa,33327,5.0
76305,AthenaFyr,113138,4.0
11102,Village_Idiot,320,5.0
61892,Yukiteru37,44155,5.0
64113,ignisha,50145,4.0
60442,BVerfG,39325,3.0
54673,isuzusan,26736,5.0
38110,sin-chan,8840,3.0
74909,Greenbat,103942,3.0
77324,Anathor,122663,5.0
47081,ana21,17596,5.0
55091,5za,27231,3.0
40559,Moklyop,11734,5.0
50625,THE_SAMO,22651,5.0
30032,__SoRaTaRd__,3764,5.0
26526,friedcorm,3008,4.0
1551,Kisacullen,9,4.0
49682,plasticgenius,21614,4.0
15395,Airy-chan,618,5.0
56757,Sakurei,30315,4.0
11062,mzpasaway13,320,5.0
70509,Pato96,86337,3.0
55459,Vienuolis,28226,5.0
69874,Nateriver20,81117,3.0
11854,ZippyStick,366,4.0
9946,Nagatotoro,101,4.0
37760,Kyourai,8341,5.0
57140,Chokko,31499,2.0
5287,MacSence,21,5.0
47332,lovelyprincess08,17904,4.0
29489,darkcrescendo,3645,4.0
56396,Chibi_Kitsunesan,29983,5.0
70405,deathslinky,86337,3.0
22053,LeonhartAugust,1376,4.0
3721,GaboxGarrido,13,5.0
31728,Clarian,4207,5.0
35167,Blue_Qbe,6030,4.0
9697,Silvybeary,92,4.0
35847,emanime,7378,3.0
66424,Xenars,62887,4.0
34836,wakka9ca,5806,5.0
19885,JEOSAMA,1101,4.0
58732,myopass,35003,4.0
11374,x_DaviiD,336,4.0
65063,kasia240,56805,4.0
60292,Kzalca,39139,4.0
12363,lungsreach,418,5.0
36802,HinoKahoko,7749,4.0
15236,Faiir,616,5.0
1242,WellFancyThat,8,5.0
41930,missiemoon,12586,4.0
76887,AndyKyrielight,119161,5.0
20055,Kickassneko,1101,5.0
12570,Kiserju,436,5.0
59353,Bacchi-gu,35719,2.0
39014,Rainethief,9711,5.0
69790,Peropedopopinn,81117,5.0
17863,SonadoAlaikor,735,4.0
31828,Lina91,4293,5.0
25122,Oteckeh,2436,2.0
29602,mihalaya,3653,4.0
42259,WitchJacqueline,12629,3.0
49269,kyo-chan,21525,4.0
11422,Fraxtal,336,4.0
32429,dokidoki_xo,4514,5.0
19015,zeppy010,933,4.0
34196,Haxen88,5293,3.0
36887,Kusanagi_VT,7749,5.0
45575,Ruisumaru,14790,4.0
5479,GoldenDevilGamer,22,4.0
43058,Friendly_devil,13463,2.0
51210,SouldeC,23390,5.0
54691,gufiotaku,26736,4.0
44153,InnocentNyuu,13949,5.0
33936,WhtChocoSnowBuns,5293,4.0
64337,gorisalvat,50217,5.0
48344,Barbiplz,19549,4.0
17520,Kikitten,677,4.0
61104,Lolli_,42451,4.0
56955,Tezsa,30315,3.0
50392,SagahM8,22638,5.0
39177,GantzX,9711,5.0
65064,LoneCrow,56805,4.0
22429,easnadh,1444,4.0
9968,Fragnostic,105,5.0
3909,rq_ronald,14,4.0
48941,Ayunee,21077,5.0
7411,Grando_,40,4.0
63895,waoetfi,49865,4.0
58842,mayhay,35013,3.0
50295,dark-chaos,22638,4.0
38893,mandralyne,9711,4.0
55877,suzuran_lily,28533,4.0
4766,keiy,21,4.0
24536,otaku-mybrain,1978,5.0
10545,Ana__wolf,142,5.0
6739,Ishxar,30,4.0
56536,anuki-chi,30079,5.0
65899,alba2darkangel,60783,4.0
56953,StrawhatAJ,30315,4.0
68592,ViewtifulFella,75989,3.0
4000,Sakurei,15,5.0
53669,IcedFlame,25132,4.0
66772,Fluwid,65685,4.0
15726,EllieBerry,625,5.0
23369,renzoushi,1630,4.0
34097,rainasu,5293,4.0
47534,Exsequens,18019,4.0
2980,Bwacky,12,4.0
46316,_Iris_,16794,4.0
16172,Heinessen,642,5.0
75589,Sakuragi_31,110485,5.0
19548,dbfuentes,988,4.0
69974,TheDarkSide32,82427,4.0
38090,nicolette19,8840,5.0
75531,StormKing786,110485,4.0
66184,Nateriver20,61189,4.0
16158,ColdBlackTeaFan,642,5.0
30363,Aaron44,3866,4.0
47074,Naru-Gin,17596,3.0
38708,Village_Idiot,9296,4.0
66813,kaitonic,66685,4.0
26637,AssertYourGirth,3009,4.0
49026,RashellAGB,21077,5.0
15217,zeppy010,616,4.0
50024,NikyNeko,22044,5.0
36428,keiy,7627,5.0
62599,Icewolf004,45757,4.0
43035,LLHayate-Kun,13463,5.0
19061,LaOveja,933,4.0
45350,Minamino_K,14790,4.0
25128,Braska_IlKhajiit,2436,4.0
5002,Darkbow,21,5.0
85,JayArcher,1,5.0
58212,INU4SH4,33327,3.0
51386,snuffless,24098,4.0
7722,Hirukowashi,42,4.0
19119,ShiroganeDx,933,5.0
60044,kurosaki_kabuto,37707,4.0
36775,Maariee,7749,5.0
26153,gufiotaku,2923,4.0
62150,Evit,44485,4.0
23662,jimanator,1649,5.0
40430,XYGMA,11652,3.0
5324,Oshiricke,21,5.0
47548,Yoshidayama,18019,3.0
17949,Vensito,745,5.0
58678,Pokemblem,35003,4.0
31555,nienna81,4196,5.0
74453,TheSinner,103890,4.0
34778,lady_bug,5686,4.0
37513,nicolette19,8340,4.0
75108,Sora-Ue,104565,5.0
5354,Fragnostic,22,5.0
57947,xoxl,33327,5.0
11687,Karpaasi,348,5.0
23620,AnimeXHunter,1649,4.0
48438,Silver_Noir,20242,5.0
28440,mihalaya,3493,5.0
25466,Rhyna18,2686,5.0
52473,P_u_Sher,24692,4.0
56398,custardloaf,29983,4.0
3170,mrtanaka2687,12,4.0
42632,Fenneko,13171,4.0
55062,Sameien,27231,4.0
