username,comicID,rating
SukieNeko,1,4.0
ARoseCast,1,5.0
rkronin,1,5.0
Vienuolis,1,5.0
Fritz_von_Papen,1,5.0
Tchyo,1,5.0
Allen,1,5.0
Julianna,1,5.0
technokid,1,5.0
Metroid,1,5.0
wakka9ca,1,5.0
reldrick,1,5.0
Shiruz,1,4.0
Jacut,1,5.0
Protodude,1,5.0
cambrussi3,1,5.0
Kanade-chan,1,3.0
graysky14,1,5.0
NivinK,1,4.0
Soiku,1,5.0
arff98,1,4.0
Slasher,1,5.0
SailorCardKnight,1,5.0
Quintessence,1,5.0
LeandroGado,1,5.0
Gaelenmyr,1,5.0
Arazial,1,4.0
EvilGrimace,1,5.0
neji11,1,4.0
Baby-BL,1,4.0
Treebeard-dono,1,4.0
Pao,1,5.0
anakurama,1,5.0
Kibou,1,4.0
Wingedwolf,1,5.0
commonlogic,1,5.0
Satsumayu,1,5.0
Faiir,1,4.0
tiberis1221,1,5.0
Held_der_Zeit,1,5.0
glitteringloke,1,5.0
Darkline,1,5.0
Reiayni,1,5.0
Ughgetatan,1,5.0
idlezeal,1,5.0
Black-Zed,1,4.0
djwhack03,1,4.0
imperius,1,5.0
Hikikomori-san,1,5.0
GEEKalea,1,5.0
kayla_eklund,1,4.0
Bellamy,1,5.0
Vatelema,1,5.0
gabrielrcamp,1,5.0
Xezcente,1,5.0
TsarinaYvetta,1,4.0
Krystal,1,5.0
MoonlitKnight,1,5.0
Ninomiya,1,5.0
ExtremeGTSlayer,1,4.0
TheVoynichCodex,1,5.0
Tounis,1,5.0
scifer,1,5.0
meku,1,4.0
Yoroko,1,5.0
Silent89,1,5.0
fuckdad,1,5.0
funsohng,1,5.0
Hige-sama,1,5.0
Dainius,1,5.0
Arthuro-Ray,1,4.0
Piku,1,5.0
rvmg,1,5.0
Nidhoeggr,1,5.0
Tabito-san,1,4.0
Lumilicious,1,5.0
Castilho,1,5.0
lililovelilica,1,4.0
grandy_UiD,1,5.0
Kyrahiko,1,3.0
Skittles,1,4.0
KtromeX3,1,2.0
Yagami-san,1,5.0
CanisTomek,1,5.0
omgitsdaryl,1,5.0
geemaa,1,5.0
OMGWTFLOLBBQ,1,5.0
Dar_Klink,1,5.0
Otacons_Girl,1,5.0
GoldenBoy55,1,5.0
Bakken,1,4.0
taishel,1,5.0
MasterGear,1,4.0
Ana__wolf,1,5.0
meikiyou,1,5.0
kinyaminolord,1,5.0
blade81tabris,1,4.0
SlinkyDreams,1,5.0
logic340,1,5.0
Crimson_Battler,1,5.0
Backha,1,4.0
mastertek,1,3.0
seittilelu,1,5.0
Aaron44,1,5.0
BobStar,1,5.0
Ororon,1,5.0
LokiAgdistis,1,5.0
Sfalcin,1,5.0
Ropogni,1,4.0
Grando_,1,5.0
Jackyanimal,1,5.0
matamune_tenshi,1,5.0
Morlaer,1,5.0
Belenaza,1,4.0
icaro_i,1,4.0
Barion-Zara,1,5.0
xDDJx,1,5.0
ShiroganeDx,1,5.0
Arpegius-Sama,1,5.0
Malenaah,1,5.0
Jambo,1,4.0
Gokaired,1,3.0
XadowMonzter,1,4.0
Mayuuuu,1,5.0
ronaldejw,1,5.0
Dark_Kobato,1,5.0
HappyFyn,1,5.0
Gaichi,1,5.0
Karpaasi,1,5.0
JayArcher,1,5.0
Yukun,1,4.0
Risan07,1,5.0
rossetrut,1,5.0
shizu,1,5.0
Willgoub,1,4.0
ChokeBee,1,5.0
Kurookano,1,5.0
hanzzzz89,1,4.0
BaronBadass,1,5.0
ViewtifulFella,1,4.0
Darkbow,1,5.0
Ashi_lover,1,5.0
Ouroboros2460,1,5.0
acw215079,1,5.0
zephyrbadge,1,4.0
h0ruz,1,4.0
JohnGaltMG,1,4.0
Playcool,1,5.0
Charizalex,1,4.0
Mykkun,1,4.0
GodspeedK,1,4.0
Paquito_Fr,1,4.0
KissMyAnthia,1,5.0
FoxEyes,1,4.0
MidAvionics,1,4.0
newaviator,1,5.0
samgantz,1,5.0
An_amazing_world,1,5.0
Daah,1,5.0
Tomboy,1,5.0
Kmale0n,1,5.0
Sc1encuS,1,5.0
Evit,1,4.0
_Hysteria_,1,5.0
Zevai,1,5.0
TheTitanTrio,1,5.0
Alvenzo,1,5.0
OhMyFantasy,1,5.0
M_F_M,1,5.0
MurukoHiiragi,1,5.0
virtual_core,1,4.0
MTstriker10,1,5.0
xacthashtag,1,4.0
Protoss69,1,3.0
animemusicFCB,1,5.0
edwardo,1,2.0
IllidanSF,1,5.0
